MARUTI SUZUKI,,,,,,,,,,,,,,,,,,,
,2,Toyota Motor Corporation,Urban Cruiser Taisor,Standard trims,Lucent Orange,Sportin Red,Cafe White,Enticing Silver,Gaming Grey,Sportin Red with Midnight Black,Enticing Silver with Midnight Black,Cafe White with Midnight Black,Bluish Black,,,,,,
,3,Toyota Motor Corporation,Urban Cruiser Hyryder,Standard trims,Cafe White,Enticing Silver,Gaming Grey,Sportin Red,Midnight Black,Cave Black,Speedy Blue,Sportin Red with Midnight Black,Enticing Silver with Midnight Black,Speedy Blue with Midnight Black,Cafe White with Midnight Black,,,,
,4,Toyota Motor Corporation,Innova Crysta,G / GX / VX / ZX,Platinum White Pearl,Superwhite,Silver Metallic,Attitude Black Mica,Avant-Garde Bronze Metallic,,,,,,,,,,
,5,Toyota Motor Corporation,Innova Hycross,Standard trims,Blackish Ageha Glass Flake,Platinum White Pearl,Silver Metallic,Avant-garde Bronze Metallic,Attitude Black Mica,Super White,,,,,,,,,
,6,Toyota Motor Corporation,Fortuner,Standard / Legender / Neo Drive,Sparkling Black Cystal Shine,Super White,Attitude Black,Avant-Garde Bronze,Platinum White Pearl,Silver Metallic,,,,,,,,,
,7,Toyota Motor Corporation,Camry,Elegance / Sprint,Cement Grey,Attitude Black,Emotional Red,Platinum White Pearl,Dark Blue,Precious Metal,Cement Grey With Matte Black,Emotional Red With Matte Black,Platinum White Pearl With Matte Black,Precious Metal With Matte Black,Dark Blue With Matte Black,,,,
,8,Toyota Motor Corporation,Hilux,Standard / Variants,Grey Metallic,White Pearl Crystal Shine,Emotional Red,Super White,Attitude Black,,,,,,,,,,
,9,Toyota Motor Corporation,Rumion,S / G / V (AT and MT variants),Rustic Brown,Iconic Grey,Spunky Blue,Cafe White,Enticing Silver,,,,,,,,,,
,10,Toyota Motor Corporation,Vellfire,Executive Lounge / VIP Executive Lounge,Black,Precious Metal,Platinum White Pearl,,,,,,,,,,,,
MAHINDRA,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
,1,Mahindra & Mahindra Ltd.,XUV 700,MX / AX / AX(O) / etc,Midnight Black,Everest White,Dazzling Silver,Red Rage,Electric Blue,Matte Blaze Red,Burnt Sienna,Electric Blue with Black Roof,Midnight Black with Black Roof,Red Rage with Black Roof,Dazzling Silver with Black Roof,Everest White with Black Roof,Deep Forest,Stealth Black,
,2,Mahindra & Mahindra Ltd.,Thar,AX / LX / LX (O) / etc,Stealth Black,Everest White,Tango Red,Battleship Grey,Deep Forest,Galaxy Grey,,,,,,,,,
,3,Mahindra & Mahindra Ltd.,XUV 3XO,REVX / REVX M / etc,Citrine Yellow,Deep Forest,Dune Beige,Everest White,Galaxy Grey,Nebula Blue,Stealth Black,Tango Red,Citrine Yellow with Stealth Black,Deep Forest with Galvono Grey,Dune Beige with Stealth Black,Galvono Grey with Stealth Black,Nebula Blue with Galvano Grey,Stealth Black with Galvono Grey,Tango Red with Stealth Black
,4,Mahindra & Mahindra Ltd.,BE 6,Pack One / Pack Two / etc,Desert Myst,Everest White,Firestorm Orange,Tango Red,Desert Myst Satin,Deep Forest,Everest White Satin,Stealth Black,Satin Black,,,,,,
,5,Mahindra & Mahindra Ltd.,XEV 9e,Standard / higher packs,Desert Myst,Everest White,Deep Forest,Tango Red,Nebula Blue,Ruby Velvet,Stealth Black,Satin White,Satin Black,,,,,,
,6,Mahindra & Mahindra Ltd.,Bolero,B4 / B6 / B8 / etc,Dsat Silver,Diamond White,Stealth Black,Rocky Beige,,,,,,,,,,,
,7,Mahindra & Mahindra Ltd.,Scorpio,Z2 / Z4 / Z6 / Z8 / Z8L (Scorpio-N); S / S11 (Classic),Everest White,Red Rage,Galaxy Grey,Stealth Black,Diamond White,,,,,,,,,,
,8,Mahindra & Mahindra Ltd.,XUV 400 EV,EC / EL,Arctic Blue,Everest White,Galaxy Grey,Napoli Black,Infinity Blue,"Satin Copper, Napoli Black","Satin Copper, Galaxy Grey","Satin Copper, Infinity Blue","Satin Copper, Everest White","Satin Copper, Arctic Blue",Nebula Blue,"Satin Copper, Nebula Blue",,,
,,,,,,,,,,,,,,,,,,,
KIA,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
,1,Kia India Pvt. Ltd.,Sonet,HTE / HTK / HTX / HTX+ / GTX+,Pewter Olive,Glacier White Pearl,Gravity Grey,Aurora Black Pearl,Magma Red,Imperial Blue,Magma Red with Aurora Black Pearl,Glacier White Pearl with Aurora Black Pearl,Matte Graphite,Clear White,,,,,
,2,Kia India Pvt. Ltd.,Seltos,HTE / HTK / HTX / GTX / X-Line,Imperial Blue,Aurora Black Pearl,Gravity Grey,Morning Haze,Pewter Olive,Ivory Silver Gloss,Magma Red,Frost Blue,Glacier White Pearl,Matte Graphite,Glacier White with Aurora Black roof,Magma Red with Aurora Black roof,,,
,3,Kia India Pvt. Ltd.,Carens,Premium / Premium Plus / Prestige,Imperial Blue,Aurora Black Pearl,Sparkling Silver,Gravity Grey,Clear White,Pewter Olive,,,,,,,,,
,4,Kia India Pvt. Ltd.,Syros,HTK / HTX etc,Glacier White Pearl,Sparkling Silver,Gravity Grey,Imperial Blue,Intense Red,Aurora Black Pearl,Pewter Olive,Frost Blue,,,,,,,
,5,Kia India Pvt. Ltd.,Carnival,Prestige / Limousine etc,Fusion Black,Glacier White Pearl,,,,,,,,,,,,,
,6,Kia India Pvt. Ltd.,EV6,Standard/GT-Line,Snow White Pearl,Runway Red,Aurora Black Pearl,Wolf Grey,Yatch Blue,,,,,,,,,,
,7,Kia India Pvt. Ltd.,EV 9,Standard/GT-Line,Snow White Pearl,Ocean Blue,Pebble Grey,Panthera Metal,Aurora Black Pearl,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TATA,,,,,,,,,,,,,,,,,,,
