3/23/2026, 1:54:48 PM	0x13F	00	0F	37	00	-	-	-	-	00	0F	3A	00	-	-	-	-
3/23/2026, 1:54:47 PM	0x7E8	03	41	0F	71	00	00	00	00	03	41	11	2C	00	00	00	00
3/23/2026, 1:54:45 PM	0x13F	00	0F	19	00	-	-	-	-	00	0F	37	00	-	-	-	-
3/23/2026, 1:54:43 PM	0x13F	00	0F	1D	00	-	-	-	-	00	0F	19	00	-	-	-	-
3/23/2026, 1:54:38 PM	0x13F	00	0F	13	00	-	-	-	-	00	0F	1D	00	-	-	-	-
3/23/2026, 1:54:36 PM	0x13F	00	0F	11	00	-	-	-	-	00	0F	13	00	-	-	-	-
3/23/2026, 1:54:34 PM	0x3B9	00	00	00	00	27	28	-	-	00	00	00	00	29	29	-	-
3/23/2026, 1:54:33 PM	0x13F	00	0F	4E	00	-	-	-	-	00	0F	11	00	-	-	-	-
3/23/2026, 1:54:32 PM	0x7E8	03	41	0D	00	00	00	00	00	03	41	0F	71	00	00	00	00
3/23/2026, 1:54:28 PM	0x13F	00	0F	3E	00	-	-	-	-	00	0F	4E	00	-	-	-	-
3/23/2026, 1:54:27 PM	0x13F	00	0F	26	00	-	-	-	-	00	0F	3E	00	-	-	-	-
3/23/2026, 1:54:26 PM	0x3B9	00	00	00	00	29	28	-	-	00	00	00	00	27	28	-	-
3/23/2026, 1:54:24 PM	0x7E8	04	41	0C	0F	2C	00	00	00	03	41	0D	00	00	00	00	00
3/23/2026, 1:54:22 PM	0x13F	00	0F	33	00	-	-	-	-	00	0F	26	00	-	-	-	-
3/23/2026, 1:54:20 PM	0x13F	00	0F	2C	00	-	-	-	-	00	0F	33	00	-	-	-	-
3/23/2026, 1:54:18 PM	0x3B9	00	00	00	00	2A	28	-	-	00	00	00	00	29	28	-	-
3/23/2026, 1:54:16 PM	0x7E8	03	41	0B	1C	00	00	00	00	04	41	0C	0F	2C	00	00	00
3/23/2026, 1:54:14 PM	0x13F	00	0F	2B	00	-	-	-	-	00	0F	2C	00	-	-	-	-
3/23/2026, 1:54:13 PM	0x13F	00	0F	45	00	-	-	-	-	00	0F	2B	00	-	-	-	-
3/23/2026, 1:54:11 PM	0x13F	00	0F	25	00	-	-	-	-	00	0F	45	00	-	-	-	-
3/23/2026, 1:54:10 PM	0x3B9	00	00	00	00	26	28	-	-	00	00	00	00	2A	28	-	-
3/23/2026, 1:54:08 PM	0x7E8	03	41	05	86	00	00	00	00	03	41	0B	1C	00	00	00	00
3/23/2026, 1:54:05 PM	0x13F	00	0F	0A	00	-	-	-	-	00	0F	25	00	-	-	-	-
